Oil Type,Feature 1,Feature 2,Feature 3
SO C,9.386868,0.6981856,-5.6673856
SO C,8.0711155,0.13727175,-5.9576573
SO C,6.938545,0.008695318,-6.268988
SO C,9.25087,0.55792,-5.635274
SO C,7.6287594,-0.28706715,-6.3001823
SO C,9.610552,0.8639386,-5.4729977
SO C,9.721337,0.8704298,-5.446855
SO C,9.600697,0.80361843,-5.465076
SO C,9.457441,0.8329897,-5.422741
SO C,9.648359,0.7488659,-5.4770603
SO C,9.440818,0.81729865,-5.4567227
SO C,9.56041,0.79469186,-5.4521832
SO C,9.229146,0.62475306,-5.4951396
SO C,9.404673,0.7780678,-5.4386744
SO C,6.251891,-1.7665867,-6.2589865
SO C,4.331595,-2.7407572,-4.826973
SO C,4.503422,-2.6661842,-4.5092063
SO C,4.311891,-3.06687,-4.347118
SO C,1.0455025,-3.372499,-2.5767064
SO C,-4.965392,-2.4629242,-2.926334
SOYO C,-6.880479,-0.28921914,-1.6581788
SOYO C,-4.6523547,1.9157822,-0.28906378
SOYO C,-6.3338,1.835559,-0.5162619
SOYO C,1.8285719,-2.8736763,-3.6146617
SOYO C,-5.485292,-0.6833803,-0.04992773
SOYO C,-4.427292,-0.5685738,-1.3452212
SOYO C,-6.507296,1.5982147,-1.0462778
SOYO C,-4.6880274,1.6862203,0.018673617
SOYO C,-6.6352606,-0.17315406,-0.21322393
SOYO C,-3.9434998,0.20227502,0.92241496
SOYO C,-7.7239885,0.75440174,-0.94547117
SOYO C,-5.1726484,-0.74443346,-1.0844284
SOYO C,-6.2340126,0.80490196,-0.60132223
SOYO C,-7.512016,-0.30536333,-0.4586529
SOYO C,-8.853534,-0.0059289127,-1.9003987
SOYO C,-8.2728,0.50698423,-0.2667452
SOYO C,-7.7566743,1.4664245,-0.5432566
SOYO C,-8.263855,1.8243933,-0.4889321
SOYO C,-8.291118,0.55081344,-0.95241153
SOYO C,-8.824928,1.4110622,-0.36372852
SOYO C,6.20414,-0.0032470713,-6.337354
SOYO C,3.5809104,1.0783529,-6.1946983
SOYO C,0.41180086,-0.57807887,-3.6736689
SOYO C,1.2635052,0.44540092,-5.544227
SOYO C,-0.6653529,3.5868094,-4.2748146
SOYO C,2.4281356,-0.5036402,-4.345489
SOYO C,2.8567123,-0.85626614,-4.6389923
SOYO C,-0.9895381,1.1618177,-2.9852638
SOYO C,-1.5503699,0.8805515,-3.6674242
SOYO C,-1.2038468,1.5196426,-3.6258242
SOYO C,-0.12215449,-0.54206806,-2.7565827
SOYO C,-0.50967735,0.4393524,-2.0596204
SOYO C,1.0506891,0.2909903,-4.3276415
SOYO C,2.2160475,-0.6778332,-5.7841144
SOYO C,-0.41051286,0.94746035,-3.5514693
SOYO C,-0.61800045,-0.8670692,-2.5686584
SOYO C,-1.0839403,1.196524,-3.51255
SOYO C,2.858514,1.1108663,-5.6648207
SOYO C,-0.3343777,1.5203509,-3.6587658
SOYO C,-2.1446848,1.1083229,-2.0238974
SOYO C,-6.5373273,-1.0238231,-2.7551212
SOYO C,-8.287855,0.7306271,-1.5927565
SOYO C,-8.005107,2.2248926,-0.8871708
SOYO C,-9.190607,0.46556413,-0.7737728
SOYO C,-8.952166,0.542946,-0.5750755
SOYO C,-7.3308434,1.7580315,-1.8791361
SOYO C,-7.101078,1.219548,-0.21258579
SOYO C,-8.386309,0.60894746,-0.053745966
SOYO C,-9.2062025,1.4007056,-1.4178169
