Oil_Type,Feature 1,Feature 2,Feature 3
GNO,-0.39296862,0.08004639,-9.540459
GNO,-0.12643255,0.42679325,-9.433751
GNO,0.5641317,0.6464754,-10.870382
GNO,0.65060854,0.45840856,-10.707709
GNO,0.15550752,-0.49025202,-10.597661
GNO,0.6349432,0.6806696,-9.594121
SOYO,0.16843517,9.00058,2.496307
SOYO,0.66127944,9.049964,4.204728
SOYO,0.64760226,8.038723,4.544063
SOYO,1.412152,8.862544,2.5195198
SOYO,0.739191,8.839253,3.037757
SOYO,0.977235,7.863272,2.9178953
SOYO,0.4701436,8.863535,4.25392
SOYO,0.7548015,8.358981,3.2871819
SOYO,0.71508145,9.996003,4.4710355
SOYO,1.1365757,9.184784,4.975078
SOYO,0.050575428,10.246828,3.113145
SOYO,1.0281339,8.86649,2.5610337
SOYO,1.2634325,8.950309,5.236948
SOYO,1.3759143,8.90029,4.4556084
SOYO,0.31523287,8.842222,3.5551198
SOYO,1.3396413,7.909291,3.1994743
SOYO,0.26430017,9.588386,3.6686158
SOYO,1.7860807,8.684107,5.3040614
SOYO,1.6368957,8.571782,4.795607
SOYO,1.065767,9.730297,2.4027328
SOYO,2.9287498,10.93489,2.4235592
SOYO,1.4552726,9.061227,1.9913913
SOYO,5.1760964,5.353427,0.06093035
SOYO,1.2496418,10.071519,4.140083
SOYO,3.345613,8.842514,5.2262707
SOYO,2.1714675,9.207263,4.415528
SOYO,1.0807695,10.086505,3.500513
SOYO,1.7801373,10.425634,3.4098203
SOYO,2.8227804,9.274784,4.5999994
SOYO,1.6950201,9.610322,3.9059358
SOYO,2.1136816,8.124853,3.6649122
SOYO,1.584,9.087185,2.9839845
SOYO,2.3778348,8.628311,3.5194628
SOYO,1.6666785,9.385598,3.677644
SOYO,1.4526112,9.050006,3.7032497
SOYO,0.98319846,10.318593,2.5514078
SOYO,3.3812249,8.848432,4.919167
SOYO,2.2906246,9.32103,2.7934227
SOYO,1.8515176,9.477792,3.9485466
